clusters	cut	ortho	annotation	Atid
TR101841|c2_g2	3	293	auxin-like 1 protein	AT1G75310
TR94502|c0_g1	2	293	auxin-like 1 protein	AT1G75310
TR97987|c0_g1	4	293	auxin-like 1 protein	AT1G75310
TR89634|c0_g1	6	294	receptor-like kinase	AT5G67280
TR63627|c1_g1	3	294	receptor-like kinase	AT5G67280
TR31754|c1_g2	6	296	Flavin-binding monooxygenase family protein	AT1G12160
TR50486|c0_g1	4	298	Copper transport protein family	AT5G52760
TR82044|c0_g1	1	302	NAD(P)-binding Rossmann-fold superfamily protein	AT2G37540
TR57249|c0_g1	6	303	0	AT3G63270
TR48110|c0_g1	3	307	AT hook motif DNA-binding family protein	AT3G61310
TR75658|c1_g2	6	307	AT hook motif DNA-binding family protein	AT3G61310
TR26752|c0_g1	3	308	Endomembrane protein 70 protein family	AT5G37310
TR96145|c0_g1	1	309	casein kinase 1	AT4G26100
TR54964|c0_g1	1	309	casein kinase 1	AT4G26100
TR29902|c0_g1	2	309	casein kinase 1	AT4G26100
TR31378|c1_g1	1	309	casein kinase 1	AT4G26100
TR82054|c0_g1	2	309	casein kinase 1	AT4G26100
TR54964|c0_g2	3	309	casein kinase 1	AT4G26100
TR29961|c0_g1	1	309	casein kinase 1	AT4G26100
TR31378|c0_g1	5	309	casein kinase 1	AT4G26100
TR32719|c0_g1	4	310	Pectin lyase-like superfamily protein	AT5G48900
TR41211|c0_g1	4	310	Pectin lyase-like superfamily protein	AT5G48900
TR41243|c0_g1	6	312	Cyclin A3;1	AT5G43080
TR87495|c1_g1	5	312	Cyclin A3;1	AT5G43080
TR67421|c0_g2	4	312	Cyclin A3;1	AT5G43080
TR17255|c0_g1	3	313	ADP-ribosylation factor A1F	AT1G10630
TR38310|c9_g1	4	313	ADP-ribosylation factor A1F	AT1G10630
TR52236|c0_g2	3	313	ADP-ribosylation factor A1F	AT1G10630
TR58027|c4_g3	2	313	ADP-ribosylation factor A1F	AT1G10630
TR24220|c1_g1	1	315	K-box region and MADS-box transcription factor family protein 	AT2G03710
TR77242|c0_g1	2	316	Duplicated homeodomain-like superfamily protein	AT1G76890
TR45888|c0_g1	6	316	Duplicated homeodomain-like superfamily protein	AT1G76890
TR31682|c0_g1	2	316	Duplicated homeodomain-like superfamily protein	AT1G76890
TR34217|c1_g1	2	316	Duplicated homeodomain-like superfamily protein	AT1G76890
TR69629|c2_g1	2	318	UDP-Glycosyltransferase superfamily protein	AT4G01070
TR95648|c0_g1	3	318	UDP-Glycosyltransferase superfamily protein	AT4G01070
TR30325|c0_g1	3	318	UDP-Glycosyltransferase superfamily protein	AT4G01070
TR39142|c0_g1	2	318	UDP-Glycosyltransferase superfamily protein	AT4G01070
TR91558|c1_g1	3	318	UDP-Glycosyltransferase superfamily protein	AT4G01070
TR41684|c0_g1	5	318	UDP-Glycosyltransferase superfamily protein	AT4G01070
TR53270|c0_g1	6	318	UDP-Glycosyltransferase superfamily protein	AT4G01070
TR54968|c0_g1	2	318	UDP-Glycosyltransferase superfamily protein	AT4G01070
TR29041|c0_g1	3	318	UDP-Glycosyltransferase superfamily protein	AT4G01070
TR44877|c0_g1	2	319	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	AT2G07020
TR29982|c1_g1	1	319	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain	AT2G07020
TR48130|c0_g1	1	320	Protein kinase superfamily protein	AT5G18910
TR31154|c0_g1	1	320	Protein kinase superfamily protein	AT5G18910
TR76335|c1_g1	4	320	Protein kinase superfamily protein	AT5G18910
TR59584|c0_g1	5	321	C2H2 and C2HC zinc fingers superfamily protein	AT1G34790
TR98338|c0_g1	3	321	C2H2 and C2HC zinc fingers superfamily protein	AT1G34790
TR65471|c0_g2	6	322	mitogen-activated protein kinase 18	AT1G53510
TR57947|c4_g3	1	322	mitogen-activated protein kinase 18	AT1G53510
TR39024|c2_g1	5	322	mitogen-activated protein kinase 18	AT1G53510
TR31717|c0_g1	1	323	HXXXD-type acyl-transferase family protein	AT3G29635
TR94982|c0_g1	4	323	HXXXD-type acyl-transferase family protein	AT3G29635
TR79901|c0_g1	1	323	HXXXD-type acyl-transferase family protein	AT3G29635
TR71820|c0_g2	4	323	HXXXD-type acyl-transferase family protein	AT3G29635
TR34350|c0_g1	4	323	HXXXD-type acyl-transferase family protein	AT3G29635
TR29309|c0_g1	2	327	nodulin MtN21 /EamA-like transporter family protein	AT1G43650
TR93627|c0_g2	5	329	"nuclear factor Y, subunit C2"	AT1G56170
TR30045|c1_g1	5	331	"cytochrome P450, family 707, subfamily A, polypeptide 4"	AT3G19270
TR51292|c0_g1	4	331	"cytochrome P450, family 707, subfamily A, polypeptide 4"	AT3G19270
TR52797|c3_g1	3	332	RING/U-box superfamily protein	AT2G04240
TR31757|c0_g1	1	332	RING/U-box superfamily protein	AT2G04240
TR38205|c2_g1	4	332	RING/U-box superfamily protein	AT2G04240
TR57963|c1_g3	2	333	unknown seed protein like 1	AT1G49320
TR80438|c10_g1	6	333	unknown seed protein like 1	AT1G49320
TR57963|c1_g2	2	333	unknown seed protein like 1	AT1G49320
TR82876|c2_g1	2	333	unknown seed protein like 1	AT1G49320
TR66600|c0_g1	2	333	unknown seed protein like 1	AT1G49320
TR89183|c4_g1	1	334	DEA(D/H)-box RNA helicase family protein	AT3G58510
TR100923|c1_g1	4	334	DEA(D/H)-box RNA helicase family protein	AT3G58510
TR85249|c0_g1	2	336	GDSL-like Lipase/Acylhydrolase superfamily protein	AT5G55050
TR96082|c0_g1	2	336	GDSL-like Lipase/Acylhydrolase superfamily protein	AT5G55050
TR27680|c4_g3	2	336	GDSL-like Lipase/Acylhydrolase superfamily protein	AT5G55050
TR46931|c1_g3	6	336	GDSL-like Lipase/Acylhydrolase superfamily protein	AT5G55050
TR26173|c1_g10	5	337	PLATZ transcription factor family protein	AT1G76590
TR81390|c3_g1	5	337	PLATZ transcription factor family protein	AT1G76590
TR52149|c0_g1	5	337	PLATZ transcription factor family protein	AT1G76590
TR34156|c0_g1	5	339	Alcohol dehydrogenase transcription factor Myb/SANT-like family protein	AT3G24490
TR70501|c1_g1	5	340	Integrase-type DNA-binding superfamily protein	AT4G36920
TR90128|c0_g1	1	340	Integrase-type DNA-binding superfamily protein	AT4G36920
TR53164|c1_g1	1	340	Integrase-type DNA-binding superfamily protein	AT4G36920
TR66171|c0_g1	1	340	Integrase-type DNA-binding superfamily protein	AT4G36920
TR81508|c0_g1	1	340	Integrase-type DNA-binding superfamily protein	AT4G36920
TR43643|c1_g1	1	345	Dof-type zinc finger DNA-binding family protein	AT3G61850
TR77755|c0_g1	2	345	Dof-type zinc finger DNA-binding family protein	AT3G61850
TR27640|c2_g1	3	346	related to ubiquitin 1	AT1G31340
TR29275|c0_g2	1	346	related to ubiquitin 1	AT1G31340
TR91317|c0_g1	2	346	related to ubiquitin 1	AT1G31340
TR64213|c0_g2	3	346	related to ubiquitin 1	AT1G31340
TR78761|c5_g6	3	346	related to ubiquitin 1	AT1G31340
TR91317|c0_g3	2	346	related to ubiquitin 1	AT1G31340
TR99010|c0_g1	3	346	related to ubiquitin 1	AT1G31340
TR67724|c0_g1	6	347	tonoplast intrinsic protein 2	AT3G26520
TR32661|c0_g1	4	350	Integrase-type DNA-binding superfamily protein	AT2G47520
TR86707|c0_g1	1	350	Integrase-type DNA-binding superfamily protein	AT2G47520
TR78790|c0_g1	5	352	MAP kinase substrate 1	AT3G18690
TR77738|c0_g2	3	354	#N/A	#N/A
TR74590|c0_g1	5	356	GRAS family transcription factor	AT1G07520
TR28142|c0_g1	5	356	GRAS family transcription factor	AT1G07520
TR29969|c0_g2	5	356	GRAS family transcription factor	AT1G07520
TR29969|c0_g1	5	356	GRAS family transcription factor	AT1G07520
TR36114|c0_g1	3	356	GRAS family transcription factor	AT1G07520
TR96839|c2_g1	5	356	GRAS family transcription factor	AT1G07520
TR52766|c0_g1	5	358	Ethylene insensitive 3 family protein	AT5G10120
TR58800|c0_g1	2	359	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	AT1G24735
TR59034|c0_g1	6	359	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	AT1G24735
TR38146|c0_g1	2	359	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	AT1G24735
TR30257|c0_g2	5	360	sulfate transporter 3;4	AT3G15990
TR35539|c0_g1	2	360	sulfate transporter 3;4	AT3G15990
TR57980|c0_g5	2	360	sulfate transporter 3;4	AT3G15990
TR69602|c0_g1	1	360	sulfate transporter 3;4	AT3G15990
TR77971|c0_g1	6	360	sulfate transporter 3;4	AT3G15990
TR57980|c0_g4	2	360	sulfate transporter 3;4	AT3G15990
TR96851|c4_g1	6	363	Auxin efflux carrier family protein	AT5G57090
TR25182|c0_g1	3	364	ACT domain repeat 5	AT2G03730
TR43434|c0_g1	3	364	ACT domain repeat 5	AT2G03730
TR93066|c0_g1	5	364	ACT domain repeat 5	AT2G03730
TR66396|c0_g1	6	365	G-box binding factor 6	AT4G34590
TR11031|c0_g1	6	367	"Polynucleotidyl transferase, ribonuclease H-like superfamily protein"	AT3G44260
TR38362|c0_g1	4	367	"Polynucleotidyl transferase, ribonuclease H-like superfamily protein"	AT3G44260
TR96867|c0_g1	1	367	"Polynucleotidyl transferase, ribonuclease H-like superfamily protein"	AT3G44260
TR87520|c1_g2	1	368	cytokinin response factor 2	AT4G23750
TR96267|c4_g4	5	368	cytokinin response factor 2	AT4G23750
TR44079|c0_g1	5	368	cytokinin response factor 2	AT4G23750
TR78115|c0_g1	2	368	cytokinin response factor 2	AT4G23750
TR44079|c0_g2	1	368	cytokinin response factor 2	AT4G23750
TR84314|c5_g1	3	369	OPC-8:0 CoA ligase1	AT1G20510
TR84314|c5_g2	5	369	OPC-8:0 CoA ligase1	AT1G20510
TR80950|c0_g1	3	369	OPC-8:0 CoA ligase1	AT1G20510
TR39939|c3_g2	3	369	OPC-8:0 CoA ligase1	AT1G20510
TR66139|c0_g1	4	369	OPC-8:0 CoA ligase1	AT1G20510
TR23312|c0_g1	4	370	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein	AT1G52880
TR37744|c0_g1	6	370	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein	AT1G52880
TR97742|c0_g1	6	370	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein	AT1G52880
TR27709|c0_g1	6	370	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein	AT1G52880
TR62066|c0_g1	5	370	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein	AT1G52880
TR86681|c0_g1	5	371	WRKY family transcription factor	AT3G62340
TR34164|c0_g1	5	371	WRKY family transcription factor	AT3G62340
TR88630|c1_g1	5	372	chitinase A	AT5G24090
TR93639|c0_g1	4	372	chitinase A	AT5G24090
TR76204|c0_g1	3	373	Arabidopsis thaliana protein of unknown function (DUF821)	AT3G61290
TR69540|c1_g4	5	373	Arabidopsis thaliana protein of unknown function (DUF821)	AT3G61290
TR96789|c3_g1	3	373	Arabidopsis thaliana protein of unknown function (DUF821)	AT3G61290
TR26217|c1_g1	2	374	potassium channel in Arabidopsis thaliana 2	AT4G18290
TR26217|c1_g5	2	374	potassium channel in Arabidopsis thaliana 2	AT4G18290
TR46203|c0_g1	2	374	potassium channel in Arabidopsis thaliana 2	AT4G18290
TR99804|c0_g1	5	374	potassium channel in Arabidopsis thaliana 2	AT4G18290
TR94250|c0_g1	3	374	potassium channel in Arabidopsis thaliana 2	AT4G18290
TR26217|c1_g21	3	374	potassium channel in Arabidopsis thaliana 2	AT4G18290
TR1212|c0_g1	4	375	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	AT2G40200
TR83104|c0_g1	4	375	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	AT2G40200
TR79397|c0_g1	3	376	Ubiquitin-like superfamily protein	AT2G05630
TR65477|c0_g1	5	379	CDPK-related kinase	AT3G50530
TR54944|c1_g1	5	379	CDPK-related kinase	AT3G50530
TR45367|c0_g2	4	380	ENTH/ANTH/VHS superfamily protein	AT2G01600
TR60538|c0_g1	5	380	ENTH/ANTH/VHS superfamily protein	AT2G01600
TR89278|c0_g1	5	380	ENTH/ANTH/VHS superfamily protein	AT2G01600
TR101057|c0_g1	5	380	ENTH/ANTH/VHS superfamily protein	AT2G01600
TR98876|c0_g1	2	380	ENTH/ANTH/VHS superfamily protein	AT2G01600
TR90335|c1_g1	3	380	ENTH/ANTH/VHS superfamily protein	AT2G01600
TR95335|c0_g1	4	381	Protein kinase family protein	AT5G09890
TR47065|c0_g1	3	383	PEBP (phosphatidylethanolamine-binding protein) family protein	AT4G20370
TR65120|c0_g1	3	383	PEBP (phosphatidylethanolamine-binding protein) family protein	AT4G20370
TR81265|c1_g1	6	383	PEBP (phosphatidylethanolamine-binding protein) family protein	AT4G20370
TR27360|c0_g1	1	384	CYCLIN D1;1	AT1G70210
TR83628|c0_g1	4	384	CYCLIN D1;1	AT1G70210
TR674|c0_g1	4	384	CYCLIN D1;1	AT1G70210
TR95167|c0_g1	6	384	CYCLIN D1;1	AT1G70210
TR30018|c0_g1	1	384	CYCLIN D1;1	AT1G70210
TR48747|c0_g1	6	386	DNA helicase (RECQl4A)	AT1G10930
TR45594|c0_g1	6	389	AP2/B3-like transcriptional factor family protein	AT3G11580
TR81439|c3_g2	5	389	AP2/B3-like transcriptional factor family protein	AT3G11580
TR58063|c0_g1	2	391	0	AT2G23690
TR51178|c1_g1	2	392	PYR1-like 10	AT4G27920
TR24944|c0_g1	6	393	Rho GTPase activating protein with PAK-box/P21-Rho-binding domain	AT5G22400
TR91524|c1_g2	6	393	Rho GTPase activating protein with PAK-box/P21-Rho-binding domain	AT5G22400
TR48357|c0_g1	3	393	Rho GTPase activating protein with PAK-box/P21-Rho-binding domain	AT5G22400
TR46210|c0_g1	4	394	Amidase family protein	AT4G34880
TR47006|c0_g1	2	395	12-oxophytodienoate reductase 2	AT1G76690
TR74277|c0_g1	1	395	12-oxophytodienoate reductase 2	AT1G76690
TR74277|c2_g1	4	395	12-oxophytodienoate reductase 2	AT1G76690
TR66227|c0_g1	2	395	12-oxophytodienoate reductase 2	AT1G76690
TR74277|c1_g2	2	395	12-oxophytodienoate reductase 2	AT1G76690
TR34941|c0_g1	3	395	12-oxophytodienoate reductase 2	AT1G76690
TR79313|c0_g1	6	396	SHI-related sequence3	AT2G21400
TR46901|c1_g1	2	402	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	AT1G43667
TR38215|c0_g1	3	404	transmembrane kinase 1	AT1G66150
TR28203|c0_g1	3	407	glyoxal oxidase-related protein	AT5G19580
TR66220|c0_g1	1	408	soluble epoxide hydrolase	AT2G26740
TR99037|c0_g1	1	409	"Polynucleotidyl transferase, ribonuclease H-like superfamily protein"	AT3G12420
TR74554|c0_g1	4	409	"Polynucleotidyl transferase, ribonuclease H-like superfamily protein"	AT3G12420
TR62693|c9_g4	2	411	Glycosyl transferase family 2 protein	AT2G24630
TR69627|c0_g1	2	412	phosphate 2	AT2G33770
TR99240|c0_g1	4	412	phosphate 2	AT2G33770
TR52804|c6_g1	4	415	Rhamnogalacturonate lyase family protein	AT1G09910
TR45310|c0_g1	3	416	Amino acid permease family protein	AT3G13620
TR100387|c0_g1	4	418	GDSL-like Lipase/Acylhydrolase superfamily protein	AT1G58725
TR23366|c0_g1	1	418	GDSL-like Lipase/Acylhydrolase superfamily protein	AT1G58725
TR76991|c0_g1	3	419	Plant stearoyl-acyl-carrier-protein desaturase family protein	AT1G43800
TR88355|c0_g1	6	419	Plant stearoyl-acyl-carrier-protein desaturase family protein	AT1G43800
TR42835|c0_g1	2	419	Plant stearoyl-acyl-carrier-protein desaturase family protein	AT1G43800
TR33907|c1_g2	3	419	Plant stearoyl-acyl-carrier-protein desaturase family protein	AT1G43800
TR82856|c1_g1	1	420	NDR1/HIN1-like 1	AT3G11660
TR68393|c0_g1	5	424	ABI five binding protein	AT1G69260
TR81983|c0_g1	4	424	ABI five binding protein	AT1G69260
TR64222|c3_g2	5	424	ABI five binding protein	AT1G69260
TR83710|c0_g2	5	424	ABI five binding protein	AT1G69260
TR81400|c3_g1	2	425	ethylene-forming enzyme	AT1G05010
TR62274|c0_g1	3	426	cellulose synthase-like D3	AT3G03050
TR46207|c0_g3	6	427	Leucine-rich repeat protein kinase family protein	AT1G64210
TR46207|c0_g1	6	427	Leucine-rich repeat protein kinase family protein	AT1G64210
TR50412|c0_g1	1	430	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	AT5G67060
TR26186|c5_g2	5	432	GTP binding Elongation factor Tu family protein	AT1G07940
TR26536|c0_g1	2	433	glyceraldehyde-3-phosphate dehydrogenase of plastid 1	AT1G79530
TR70603|c0_g1	2	433	glyceraldehyde-3-phosphate dehydrogenase of plastid 1	AT1G79530
TR88617|c0_g1	2	433	glyceraldehyde-3-phosphate dehydrogenase of plastid 1	AT1G79530
TR28117|c0_g2	5	433	glyceraldehyde-3-phosphate dehydrogenase of plastid 1	AT1G79530
TR40238|c0_g2	2	433	glyceraldehyde-3-phosphate dehydrogenase of plastid 1	AT1G79530
TR80465|c4_g4	1	433	glyceraldehyde-3-phosphate dehydrogenase of plastid 1	AT1G79530
TR43406|c0_g1	2	433	glyceraldehyde-3-phosphate dehydrogenase of plastid 1	AT1G79530
TR80465|c4_g3	2	433	glyceraldehyde-3-phosphate dehydrogenase of plastid 1	AT1G79530
TR32975|c0_g1	1	434	calmodulin-binding family protein	AT3G58480
TR29181|c0_g1	1	437	calcium-dependent protein kinase 2	AT1G35670
TR83494|c0_g2	2	437	calcium-dependent protein kinase 2	AT1G35670
TR57202|c0_g1	1	437	calcium-dependent protein kinase 2	AT1G35670
TR27649|c2_g1	2	438	XH/XS domain-containing protein	AT1G80790
TR56301|c0_g1	5	438	XH/XS domain-containing protein	AT1G80790
TR27649|c4_g1	5	438	XH/XS domain-containing protein	AT1G80790
TR42622|c0_g1	3	439	glutathione S-transferase F4	AT1G02950
TR59718|c0_g1	5	440	P-loop containing nucleoside triphosphate hydrolases superfamily protein	AT1G65780
TR77222|c0_g1	3	444	Eukaryotic aspartyl protease family protein	AT5G22850
TR40170|c0_g1	4	444	Eukaryotic aspartyl protease family protein	AT5G22850
TR100439|c0_g1	3	444	Eukaryotic aspartyl protease family protein	AT5G22850
TR80434|c2_g1	5	444	Eukaryotic aspartyl protease family protein	AT5G22850
TR100570|c0_g1	2	446	RING/U-box superfamily protein	AT3G47160
TR23233|c0_g1	1	446	RING/U-box superfamily protein	AT3G47160
TR66072|c0_g1	1	446	RING/U-box superfamily protein	AT3G47160
TR49727|c0_g1	3	447	polyol/monosaccharide transporter 2	AT2G16130
TR89248|c4_g5	3	447	polyol/monosaccharide transporter 2	AT2G16130
TR36097|c0_g1	3	447	polyol/monosaccharide transporter 2	AT2G16130
TR87478|c2_g2	6	447	polyol/monosaccharide transporter 2	AT2G16130
TR58027|c4_g1	5	447	polyol/monosaccharide transporter 2	AT2G16130
TR46205|c0_g1	3	447	polyol/monosaccharide transporter 2	AT2G16130
TR34192|c0_g1	4	448	Alba DNA/RNA-binding protein	AT1G20220
TR89352|c0_g1	1	448	Alba DNA/RNA-binding protein	AT1G20220
TR77089|c0_g1	1	449	Protein phosphatase 2C family protein	AT5G01700
TR30088|c5_g1	1	449	Protein phosphatase 2C family protein	AT5G01700
TR30088|c5_g2	1	449	Protein phosphatase 2C family protein	AT5G01700
TR87526|c0_g1	1	449	Protein phosphatase 2C family protein	AT5G01700
TR101710|c0_g1	3	449	Protein phosphatase 2C family protein	AT5G01700
TR87526|c0_g2	1	449	Protein phosphatase 2C family protein	AT5G01700
TR30088|c6_g1	1	449	Protein phosphatase 2C family protein	AT5G01700
TR32341|c0_g1	6	450	L-tyrosine decarboxylase	AT4G28680
TR34756|c2_g2	6	453	Protein kinase family protein	AT2G40270
TR63300|c7_g1	4	453	Protein kinase family protein	AT2G40270
TR48044|c0_g1	2	453	Protein kinase family protein	AT2G40270
TR67751|c4_g1	2	454	gibberellin 20-oxidase 5	AT1G44090
TR59785|c1_g1	3	458	RING/U-box superfamily protein	AT5G46650
TR52201|c2_g1	5	459	RAD-like 3	AT4G36570
TR45695|c0_g1	3	459	RAD-like 3	AT4G36570
TR24422|c0_g1	4	460	Protein kinase family protein	AT3G03940
TR54949|c0_g1	5	460	Protein kinase family protein	AT3G03940
TR67755|c1_g1	1	461	Zinc-binding dehydrogenase family protein	AT5G16960
TR38476|c0_g2	1	461	Zinc-binding dehydrogenase family protein	AT5G16960
TR40770|c1_g1	5	463	GF14 protein phi chain	AT1G35160
TR34112|c0_g1	1	463	GF14 protein phi chain	AT1G35160
TR40770|c0_g1	3	463	GF14 protein phi chain	AT1G35160
TR89238|c1_g2	4	463	GF14 protein phi chain	AT1G35160
TR96122|c0_g1	3	466	protein kinase family protein / peptidoglycan-binding LysM domain-containing protein	AT2G23770
TR48221|c0_g2	3	466	protein kinase family protein / peptidoglycan-binding LysM domain-containing protein	AT2G23770
TR64225|c2_g3	3	466	protein kinase family protein / peptidoglycan-binding LysM domain-containing protein	AT2G23770
TR56470|c0_g1	6	468	glutamine dumper 4	AT2G24762
TR79399|c1_g1	5	474	Transcription factor jumonji (jmjC) domain-containing protein	AT3G07610
TR52166|c0_g1	5	474	Transcription factor jumonji (jmjC) domain-containing protein	AT3G07610
TR79315|c0_g1	3	474	Transcription factor jumonji (jmjC) domain-containing protein	AT3G07610
TR54942|c5_g1	1	475	cation exchanger 3	AT3G51860
TR52753|c4_g1	4	475	cation exchanger 3	AT3G51860
TR63773|c0_g1	4	475	cation exchanger 3	AT3G51860
TR52753|c4_g2	1	475	cation exchanger 3	AT3G51860
TR43563|c0_g1	1	475	cation exchanger 3	AT3G51860
TR7773|c0_g1	6	476	CBS domain-containing protein with a domain of unknown function (DUF21)	AT4G33700
TR41691|c0_g1	5	476	CBS domain-containing protein with a domain of unknown function (DUF21)	AT4G33700
TR54959|c0_g2	5	477	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	AT1G72700
TR59805|c0_g1	5	477	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	AT1G72700
TR58554|c0_g1	6	477	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	AT1G72700
TR54998|c0_g1	3	477	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	AT1G72700
TR54998|c0_g2	3	477	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	AT1G72700
TR6048|c0_g1	3	479	zinc-finger protein 2	AT3G19580
TR34221|c0_g1	6	479	zinc-finger protein 2	AT3G19580
TR69622|c0_g1	2	483	phospholipase D beta 1	AT2G42010
TR64176|c0_g3	2	483	phospholipase D beta 1	AT2G42010
TR84301|c0_g1	4	483	phospholipase D beta 1	AT2G42010
TR53902|c2_g2	6	483	phospholipase D beta 1	AT2G42010
TR28501|c0_g1	3	484	MATE efflux family protein	AT1G51340
TR84612|c0_g1	6	484	MATE efflux family protein	AT1G51340
TR30702|c2_g2	2	485	Transducin family protein / WD-40 repeat family protein	AT1G15750
TR43584|c0_g1	3	485	Transducin family protein / WD-40 repeat family protein	AT1G15750
TR79292|c0_g1	5	488	chloride channel A	AT5G40890
TR54046|c0_g2	5	488	chloride channel A	AT5G40890
TR97861|c0_g1	4	489	SKU5  similar 17	AT5G66920
TR70304|c0_g1	4	491	alpha/beta-Hydrolases superfamily protein	AT3G03990
TR55006|c1_g1	6	491	alpha/beta-Hydrolases superfamily protein	AT3G03990
TR62774|c0_g1	2	493	RING/U-box superfamily protein	AT3G03550
TR91701|c1_g2	5	493	RING/U-box superfamily protein	AT3G03550
TR50475|c0_g1	4	493	RING/U-box superfamily protein	AT3G03550
TR87794|c1_g3	2	493	RING/U-box superfamily protein	AT3G03550
TR52437|c0_g2	3	494	cation/H+ exchanger 16	AT1G64170
TR89858|c0_g1	3	494	cation/H+ exchanger 16	AT1G64170
TR88573|c2_g1	4	494	cation/H+ exchanger 16	AT1G64170
TR35441|c0_g1	3	494	cation/H+ exchanger 16	AT1G64170
TR28931|c0_g1	1	496	Na+/H+ exchanger 1	AT5G27150
TR34705|c1_g1	4	496	Na+/H+ exchanger 1	AT5G27150
TR62114|c0_g1	1	497	Integrase-type DNA-binding superfamily protein	AT5G18450
TR32472|c0_g1	1	497	Integrase-type DNA-binding superfamily protein	AT5G18450
TR11514|c0_g1	2	498	phosphate 1	AT3G23430
TR97729|c0_g1	3	498	phosphate 1	AT3G23430
TR99780|c0_g1	5	501	PLC-like phosphodiesterases superfamily protein	AT3G19310
TR95147|c1_g1	1	502	Carbohydrate-binding X8 domain superfamily protein	AT4G13600
TR31412|c3_g1	3	503	ubiquitin-specific protease 19	AT2G24640
TR68016|c0_g1	1	504	"Polynucleotidyl transferase, ribonuclease H-like superfamily protein"	AT3G15140
TR64215|c3_g1	3	505	Chalcone and stilbene synthase family protein	AT5G13930
TR88591|c4_g1	2	506	pleckstrin homology (PH) domain-containing protein	AT4G17140
TR47801|c0_g1	6	506	pleckstrin homology (PH) domain-containing protein	AT4G17140
TR44951|c0_g1	1	506	pleckstrin homology (PH) domain-containing protein	AT4G17140
TR26556|c0_g4	4	506	pleckstrin homology (PH) domain-containing protein	AT4G17140
TR10658|c0_g1	2	506	pleckstrin homology (PH) domain-containing protein	AT4G17140
TR8289|c0_g1	5	507	Ribosomal protein L30/L7 family protein	AT1G80750
TR78746|c1_g1	3	508	UDP-Glycosyltransferase superfamily protein	AT3G02100
TR88606|c0_g1	5	510	Protein phosphatase 2C family protein	AT3G17090
TR24194|c2_g2	2	510	Protein phosphatase 2C family protein	AT3G17090
TR56254|c0_g1	2	511	Protein of unknown function (DUF630 and DUF632)	AT1G21740
TR78191|c0_g1	1	511	Protein of unknown function (DUF630 and DUF632)	AT1G21740
TR59899|c0_g1	4	512	compromised recognition of TCV 1	AT4G36290
TR99169|c0_g1	2	512	compromised recognition of TCV 1	AT4G36290
TR23421|c0_g2	5	512	compromised recognition of TCV 1	AT4G36290
TR24037|c0_g2	5	512	compromised recognition of TCV 1	AT4G36290
TR2152|c0_g1	3	512	compromised recognition of TCV 1	AT4G36290
TR14343|c0_g1	5	513	Secretory carrier membrane protein (SCAMP) family protein	AT2G20840
TR93767|c0_g2	5	513	Secretory carrier membrane protein (SCAMP) family protein	AT2G20840
TR86398|c0_g1	5	514	O-fucosyltransferase family protein	AT3G02250
TR41136|c0_g1	5	514	O-fucosyltransferase family protein	AT3G02250
TR86398|c0_g2	4	514	O-fucosyltransferase family protein	AT3G02250
TR66238|c0_g1	5	514	O-fucosyltransferase family protein	AT3G02250
TR72925|c0_g1	5	514	O-fucosyltransferase family protein	AT3G02250
TR58729|c2_g1	4	516	myb-like HTH transcriptional regulator family protein	AT2G01060
TR32421|c0_g1	6	516	myb-like HTH transcriptional regulator family protein	AT2G01060
TR58805|c0_g1	5	516	myb-like HTH transcriptional regulator family protein	AT2G01060
TR43649|c0_g1	4	517	0	AT2G21030
TR33169|c1_g3	3	519	glutamate receptor 3.4	AT1G05200
TR59591|c0_g2	5	524	alpha/beta-Hydrolases superfamily protein	AT5G14390
TR91120|c1_g1	5	525	O-Glycosyl hydrolases family 17 protein	AT4G34480
TR94433|c0_g2	5	527	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	AT5G59480
TR82842|c0_g1	2	527	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	AT5G59480
TR87441|c0_g3	3	527	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	AT5G59480
TR87441|c0_g6	3	527	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	AT5G59480
TR87441|c0_g2	2	527	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	AT5G59480
