transcript	cluster	ortho	annota	Atid
TR59731|c1_g1	3	393	Rho GTPase activating protein with PAK-box/P21-Rho-binding domain	AT5G22400
TR7828|c0_g1	2	394	Amidase family protein	AT4G34880
TR24131|c2_g1	2	395	12-oxophytodienoate reductase 2	AT1G76690
TR14649|c1_g1	2	395	12-oxophytodienoate reductase 2	AT1G76690
TR24131|c2_g2	4	395	12-oxophytodienoate reductase 2	AT1G76690
TR18453|c1_g1	4	396	SHI-related sequence3	AT2G21400
TR4336|c1_g1	5	396	SHI-related sequence3	AT2G21400
TR5409|c1_g1	3	397	NIMA-related kinase 5	AT3G20860
TR26309|c0_g1	6	397	NIMA-related kinase 5	AT3G20860
TR42014|c2_g1	4	397	NIMA-related kinase 5	AT3G20860
TR4334|c2_g1	3	400	Transmembrane amino acid transporter family protein	AT1G67640
TR15428|c0_g1	2	401	Pectin lyase-like superfamily protein	AT3G59850
TR18759|c0_g1	5	404	transmembrane kinase 1	AT1G66150
TR37593|c0_g2	2	405	GroES-like zinc-binding dehydrogenase family protein	AT5G24760
TR50374|c1_g1	3	405	GroES-like zinc-binding dehydrogenase family protein	AT5G24760
TR5585|c4_g1	5	405	GroES-like zinc-binding dehydrogenase family protein	AT5G24760
TR33838|c2_g1	5	405	GroES-like zinc-binding dehydrogenase family protein	AT5G24760
TR54694|c0_g1	2	408	soluble epoxide hydrolase	AT2G26740
TR45444|c0_g1	2	408	soluble epoxide hydrolase	AT2G26740
TR20609|c1_g2	3	408	soluble epoxide hydrolase	AT2G26740
TR54163|c9_g3	2	408	soluble epoxide hydrolase	AT2G26740
TR20123|c1_g1	1	409	"Polynucleotidyl transferase, ribonuclease H-like superfamily protein"	AT3G12420
TR31454|c2_g1	3	409	"Polynucleotidyl transferase, ribonuclease H-like superfamily protein"	AT3G12420
TR56546|c2_g1	3	410	SAUR-like auxin-responsive protein family 	AT2G46690
TR25913|c8_g1	4	412	phosphate 2	AT2G33770
TR51891|c0_g1	3	418	GDSL-like Lipase/Acylhydrolase superfamily protein	AT1G58725
TR27307|c0_g2	3	418	GDSL-like Lipase/Acylhydrolase superfamily protein	AT1G58725
TR51501|c0_g1	3	418	GDSL-like Lipase/Acylhydrolase superfamily protein	AT1G58725
TR51891|c1_g1	4	418	GDSL-like Lipase/Acylhydrolase superfamily protein	AT1G58725
TR28876|c0_g1	6	418	GDSL-like Lipase/Acylhydrolase superfamily protein	AT1G58725
TR51891|c1_g3	4	418	GDSL-like Lipase/Acylhydrolase superfamily protein	AT1G58725
TR19287|c2_g1	6	420	NDR1/HIN1-like 1	AT3G11660
TR23284|c3_g1	2	420	NDR1/HIN1-like 1	AT3G11660
TR6511|c0_g1	3	420	NDR1/HIN1-like 1	AT3G11660
TR58454|c5_g1	2	424	ABI five binding protein	AT1G69260
TR19430|c0_g1	2	424	ABI five binding protein	AT1G69260
TR15811|c2_g1	3	424	ABI five binding protein	AT1G69260
TR45873|c1_g1	3	426	cellulose synthase-like D3	AT3G03050
TR5582|c5_g2	3	427	Leucine-rich repeat protein kinase family protein	AT1G64210
TR22422|c0_g2	1	429	highly ABA-induced PP2C gene 1	AT5G59220
TR17521|c2_g1	5	429	highly ABA-induced PP2C gene 1	AT5G59220
TR29520|c0_g1	3	430	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	AT5G67060
TR29520|c0_g2	4	430	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	AT5G67060
TR8285|c3_g5	6	431	NAD(P)-linked oxidoreductase superfamily protein	AT1G59960
TR5319|c0_g1	3	432	GTP binding Elongation factor Tu family protein	AT1G07940
TR8053|c0_g1	2	432	GTP binding Elongation factor Tu family protein	AT1G07940
TR51285|c0_g1	2	432	GTP binding Elongation factor Tu family protein	AT1G07940
TR37054|c2_g5	1	433	glyceraldehyde-3-phosphate dehydrogenase of plastid 1	AT1G79530
TR42143|c0_g1	3	435	0	AT5G37010
TR19299|c3_g1	2	437	calcium-dependent protein kinase 2	AT1G35670
TR59191|c0_g1	3	438	XH/XS domain-containing protein	AT1G80790
TR43843|c0_g1	6	438	XH/XS domain-containing protein	AT1G80790
TR8287|c8_g1	4	444	Eukaryotic aspartyl protease family protein	AT5G22850
TR34122|c3_g2	4	444	Eukaryotic aspartyl protease family protein	AT5G22850
TR39492|c5_g4	2	444	Eukaryotic aspartyl protease family protein	AT5G22850
TR20644|c0_g1	4	445	glutathione peroxidase 5	AT3G63080
TR37039|c5_g5	1	446	RING/U-box superfamily protein	AT3G47160
TR50293|c6_g1	1	447	polyol/monosaccharide transporter 2	AT2G16130
TR21578|c4_g1	4	449	Protein phosphatase 2C family protein	AT5G01700
TR18154|c1_g1	1	449	Protein phosphatase 2C family protein	AT5G01700
TR8279|c13_g1	6	451	TRICHOME BIREFRINGENCE-LIKE 11	AT5G19160
TR8920|c0_g1	2	452	SKP1-like 12	AT4G34470
TR8538|c0_g1	2	452	SKP1-like 12	AT4G34470
TR57563|c0_g2	3	453	Protein kinase family protein	AT2G40270
TR39834|c3_g2	3	453	Protein kinase family protein	AT2G40270
TR39834|c1_g1	6	453	Protein kinase family protein	AT2G40270
TR39834|c0_g1	4	453	Protein kinase family protein	AT2G40270
TR54511|c0_g1	2	458	RING/U-box superfamily protein	AT5G46650
TR3778|c0_g1	2	458	RING/U-box superfamily protein	AT5G46650
TR9102|c0_g1	2	458	RING/U-box superfamily protein	AT5G46650
TR13444|c3_g1	1	461	Zinc-binding dehydrogenase family protein	AT5G16960
TR18112|c8_g1	4	461	Zinc-binding dehydrogenase family protein	AT5G16960
TR43959|c10_g1	1	461	Zinc-binding dehydrogenase family protein	AT5G16960
TR22350|c1_g1	2	463	GF14 protein phi chain	AT1G35160
TR58680|c4_g1	1	464	serpin 2	AT2G14540
TR57967|c3_g2	3	465	Chloroplast-targeted copper chaperone protein	AT3G53530
TR37815|c0_g3	4	466	protein kinase family protein / peptidoglycan-binding LysM domain-containing protein	AT2G23770
TR34401|c0_g1	4	466	protein kinase family protein / peptidoglycan-binding LysM domain-containing protein	AT2G23770
TR24797|c1_g1	5	467	DYNAMIN-like 1D	AT2G44590
TR30836|c0_g1	2	470	mitogen-activated protein kinase kinase kinase 17	AT2G32510
TR11421|c0_g2	4	470	mitogen-activated protein kinase kinase kinase 17	AT2G32510
TR50452|c0_g1	1	471	COBRA-like protein 2 precursor	AT3G29810
TR60020|c1_g3	2	472	Protein of unknown function (DUF1624)	AT5G27730
TR25370|c6_g1	6	472	Protein of unknown function (DUF1624)	AT5G27730
TR43832|c0_g1	4	473	NAD(P)-binding Rossmann-fold superfamily protein	AT2G33590
TR47294|c0_g2	4	474	Transcription factor jumonji (jmjC) domain-containing protein	AT3G07610
TR34711|c0_g2	1	474	Transcription factor jumonji (jmjC) domain-containing protein	AT3G07610
TR47294|c9_g1	5	474	Transcription factor jumonji (jmjC) domain-containing protein	AT3G07610
TR35045|c1_g1	1	474	Transcription factor jumonji (jmjC) domain-containing protein	AT3G07610
TR23082|c5_g1	1	475	cation exchanger 3	AT3G51860
TR36926|c1_g1	1	475	cation exchanger 3	AT3G51860
TR19235|c4_g1	3	475	cation exchanger 3	AT3G51860
TR19235|c7_g2	1	475	cation exchanger 3	AT3G51860
TR14827|c2_g2	6	475	cation exchanger 3	AT3G51860
TR29832|c1_g1	5	476	CBS domain-containing protein with a domain of unknown function (DUF21)	AT4G33700
TR45780|c1_g1	1	479	zinc-finger protein 2	AT3G19580
TR8506|c1_g1	5	479	zinc-finger protein 2	AT3G19580
TR49615|c2_g2	2	482	mechanosensitive channel of small conductance-like 10	AT5G12080
TR44604|c5_g1	2	482	mechanosensitive channel of small conductance-like 10	AT5G12080
TR49802|c2_g1	4	483	phospholipase D beta 1	AT2G42010
TR58654|c3_g4	1	484	MATE efflux family protein	AT1G51340
TR23241|c6_g1	5	485	Transducin family protein / WD-40 repeat family protein	AT1G15750
TR25273|c1_g2	5	485	Transducin family protein / WD-40 repeat family protein	AT1G15750
TR61174|c4_g2	4	488	chloride channel A	AT5G40890
TR48912|c6_g1	2	493	RING/U-box superfamily protein	AT3G03550
TR28402|c0_g1	3	495	Agenet domain-containing protein	AT1G26540
TR19689|c3_g1	1	497	Integrase-type DNA-binding superfamily protein	AT5G18450
TR38225|c0_g3	1	497	Integrase-type DNA-binding superfamily protein	AT5G18450
TR5604|c3_g2	2	498	phosphate 1	AT3G23430
TR42024|c1_g1	3	501	PLC-like phosphodiesterases superfamily protein	AT3G19310
TR42024|c1_g2	2	501	PLC-like phosphodiesterases superfamily protein	AT3G19310
TR23452|c1_g1	3	502	Carbohydrate-binding X8 domain superfamily protein	AT4G13600
TR44589|c9_g1	4	503	ubiquitin-specific protease 19	AT2G24640
TR25450|c3_g1	1	504	"Polynucleotidyl transferase, ribonuclease H-like superfamily protein"	AT3G15140
TR20670|c2_g1	2	505	Chalcone and stilbene synthase family protein	AT5G13930
TR46718|c0_g1	2	506	pleckstrin homology (PH) domain-containing protein	AT4G17140
TR34052|c3_g1	6	506	pleckstrin homology (PH) domain-containing protein	AT4G17140
TR61140|c4_g3	2	506	pleckstrin homology (PH) domain-containing protein	AT4G17140
TR61159|c2_g1	2	508	UDP-Glycosyltransferase superfamily protein	AT3G02100
TR40323|c0_g2	3	508	UDP-Glycosyltransferase superfamily protein	AT3G02100
TR47230|c3_g1	2	510	Protein phosphatase 2C family protein	AT3G17090
TR9706|c0_g1	3	511	Protein of unknown function (DUF630 and DUF632)	AT1G21740
TR61011|c4_g3	4	512	compromised recognition of TCV 1	AT4G36290
TR45503|c0_g1	3	512	compromised recognition of TCV 1	AT4G36290
TR54431|c0_g1	1	512	compromised recognition of TCV 1	AT4G36290
TR44765|c0_g1	6	512	compromised recognition of TCV 1	AT4G36290
TR37042|c3_g1	4	512	compromised recognition of TCV 1	AT4G36290
TR33797|c2_g2	2	514	O-fucosyltransferase family protein	AT3G02250
TR33797|c1_g1	3	514	O-fucosyltransferase family protein	AT3G02250
TR24861|c8_g1	4	518	auxin response factor 8	AT5G37020
TR33243|c1_g1	6	519	glutamate receptor 3.4	AT1G05200
TR19661|c1_g1	6	521	#N/A	#N/A
TR14329|c1_g1	2	521	#N/A	#N/A
TR1859|c4_g1	1	524	alpha/beta-Hydrolases superfamily protein	AT5G14390
TR1859|c4_g3	1	524	alpha/beta-Hydrolases superfamily protein	AT5G14390
TR30338|c5_g2	2	524	alpha/beta-Hydrolases superfamily protein	AT5G14390
TR49204|c5_g1	5	528	lipid phosphate phosphatase 2	AT1G15080
TR58668|c7_g4	2	528	lipid phosphate phosphatase 2	AT1G15080
TR39515|c3_g1	2	529	O-acyltransferase (WSD1-like) family protein	AT1G72110
TR39515|c2_g1	2	529	O-acyltransferase (WSD1-like) family protein	AT1G72110
TR39515|c3_g4	4	529	O-acyltransferase (WSD1-like) family protein	AT1G72110
TR39515|c2_g2	2	529	O-acyltransferase (WSD1-like) family protein	AT1G72110
TR39515|c0_g1	1	529	O-acyltransferase (WSD1-like) family protein	AT1G72110
TR4843|c3_g1	1	530	alfin-like 6	AT2G02470
TR2695|c3_g1	2	531	tobamovirus multiplication protein 3	AT2G02180
TR30368|c0_g1	3	531	tobamovirus multiplication protein 3	AT2G02180
TR1091|c0_g1	2	532	Protein of unknown function (DUF581)	AT5G47060
TR25920|c8_g1	5	534	Myzus persicae-induced lipase 1	AT5G14180
TR28561|c0_g1	2	534	Myzus persicae-induced lipase 1	AT5G14180
TR1729|c0_g1	3	535	Nodulin MtN3 family protein	AT5G62850
TR40319|c10_g1	1	540	DNAse I-like superfamily protein	AT2G37440
TR5566|c7_g8	6	540	DNAse I-like superfamily protein	AT2G37440
TR8349|c1_g2	3	540	DNAse I-like superfamily protein	AT2G37440
TR48993|c8_g1	2	542	AP2/B3 transcription factor family protein	AT1G50680
TR40360|c0_g1	3	544	nucleotidyltransferases	AT3G61690
TR15345|c0_g1	3	544	nucleotidyltransferases	AT3G61690
TR26268|c0_g1	6	544	nucleotidyltransferases	AT3G61690
TR12703|c0_g1	3	545	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	AT1G22490
TR54473|c0_g1	3	546	Protein of unknown function (DUF1218)	AT1G61065
TR40976|c0_g1	6	546	Protein of unknown function (DUF1218)	AT1G61065
TR31559|c0_g1	1	547	Galactose mutarotase-like superfamily protein	AT3G47800
TR20664|c1_g1	2	547	Galactose mutarotase-like superfamily protein	AT3G47800
TR2743|c5_g1	4	547	Galactose mutarotase-like superfamily protein	AT3G47800
TR2743|c5_g3	4	547	Galactose mutarotase-like superfamily protein	AT3G47800
TR20664|c1_g3	4	547	Galactose mutarotase-like superfamily protein	AT3G47800
TR20664|c1_g4	1	547	Galactose mutarotase-like superfamily protein	AT3G47800
TR20664|c1_g2	2	547	Galactose mutarotase-like superfamily protein	AT3G47800
TR27817|c3_g1	2	548	cycling DOF factor 1	AT5G62430
TR51977|c3_g2	5	548	cycling DOF factor 1	AT5G62430
TR51977|c3_g1	4	548	cycling DOF factor 1	AT5G62430
TR49832|c2_g3	4	548	cycling DOF factor 1	AT5G62430
TR44630|c1_g1	2	549	MAP kinase kinase 8	AT3G06230
TR50377|c0_g1	5	550	global transcription factor group E3	AT1G73150
TR10122|c2_g1	2	554	vesicle-associated membrane protein 724	AT4G15780
TR58678|c5_g2	1	554	vesicle-associated membrane protein 724	AT4G15780
TR8616|c0_g1	2	554	vesicle-associated membrane protein 724	AT4G15780
TR23166|c4_g1	5	556	Drought-responsive family protein	AT5G49230
TR54711|c0_g1	5	556	Drought-responsive family protein	AT5G49230
TR2511|c0_g1	4	556	Drought-responsive family protein	AT5G49230
TR47685|c0_g2	6	556	Drought-responsive family protein	AT5G49230
TR10612|c0_g2	6	556	Drought-responsive family protein	AT5G49230
TR13442|c4_g3	6	558	"cytochrome P450, family 704, subfamily A, polypeptide 1"	AT2G44890
TR52720|c0_g2	4	558	"cytochrome P450, family 704, subfamily A, polypeptide 1"	AT2G44890
TR7936|c0_g1	3	558	"cytochrome P450, family 704, subfamily A, polypeptide 1"	AT2G44890
TR32006|c0_g1	1	560	Sulfite exporter TauE/SafE family protein	AT2G36630
TR5590|c0_g4	5	560	Sulfite exporter TauE/SafE family protein	AT2G36630
TR56568|c3_g3	3	561	purple acid phosphatase 10	AT2G16430
TR25875|c0_g3	6	561	purple acid phosphatase 10	AT2G16430
TR55724|c0_g2	6	561	purple acid phosphatase 10	AT2G16430
TR25875|c0_g1	4	561	purple acid phosphatase 10	AT2G16430
TR14901|c8_g2	2	562	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	AT1G51140
TR53950|c0_g1	2	562	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	AT1G51140
TR487|c7_g1	2	562	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	AT1G51140
TR32792|c3_g1	2	564	NAD(P)-binding Rossmann-fold superfamily protein	AT3G03980
TR25394|c4_g1	2	565	Protein of unknown function (DUF567)	AT3G10986
TR13465|c7_g1	3	566	seed imbibition 2	AT3G57520
TR24142|c0_g1	4	566	seed imbibition 2	AT3G57520
TR17869|c8_g2	5	568	syntaxin of plants 125	AT1G11250
TR53918|c0_g1	5	568	syntaxin of plants 125	AT1G11250
TR17835|c1_g1	3	568	syntaxin of plants 125	AT1G11250
TR17835|c1_g2	3	568	syntaxin of plants 125	AT1G11250
TR61132|c0_g2	5	572	Integrase-type DNA-binding superfamily protein	AT2G33710
TR2416|c1_g2	2	576	pinoid-binding protein 1	AT5G54490
TR11136|c0_g1	2	576	pinoid-binding protein 1	AT5G54490
TR55295|c0_g1	1	578	Protein of unknown function (DUF1645)	AT1G23710
TR59743|c4_g3	1	580	jasmonate-zim-domain protein 5	AT1G17380
TR15893|c6_g1	6	586	Homeodomain-like superfamily protein	AT5G17300
TR34364|c0_g1	1	587	CRS1 / YhbY (CRM) domain-containing protein	AT3G18390
TR57957|c10_g1	3	588	Glycosyl hydrolase superfamily protein	AT5G66460
TR25384|c7_g2	2	590	Exostosin family protein	AT3G42180
TR23311|c5_g1	4	592	glutamine synthetase 1;5	AT1G48470
TR23311|c5_g3	4	592	glutamine synthetase 1;5	AT1G48470
TR51356|c5_g1	2	593	calmodulin-binding receptor-like cytoplasmic kinase 2	AT4G00330
TR2468|c2_g1	2	593	calmodulin-binding receptor-like cytoplasmic kinase 2	AT4G00330
TR23949|c0_g1	2	593	calmodulin-binding receptor-like cytoplasmic kinase 2	AT4G00330
TR43927|c0_g1	1	594	Galactose oxidase/kelch repeat superfamily protein	AT4G39290
TR4818|c8_g1	2	595	ARM repeat superfamily protein	AT1G71020
TR38675|c0_g2	4	595	ARM repeat superfamily protein	AT1G71020
TR17917|c0_g2	2	595	ARM repeat superfamily protein	AT1G71020
TR60001|c0_g1	3	596	"Beta-1,3-N-Acetylglucosaminyltransferase family protein"	AT4G32105
TR35641|c0_g1	2	598	Integrase-type DNA-binding superfamily protein	AT3G54320
TR14806|c4_g2	3	600	Auxin efflux carrier family protein	AT1G76530
TR60808|c3_g2	6	601	Domain of unknown function (DUF3444)	AT5G18740
TR13426|c0_g1	1	603	0	AT5G62900
TR15722|c3_g1	5	604	Fatty acid hydroxylase superfamily	AT2G37700
TR22113|c4_g6	3	604	Fatty acid hydroxylase superfamily	AT2G37700
TR32043|c1_g2	6	608	Flavin-binding monooxygenase family protein	AT4G13260
TR47294|c6_g1	6	609	AMP-dependent synthetase and ligase family protein	AT4G23850
TR20617|c0_g2	3	609	AMP-dependent synthetase and ligase family protein	AT4G23850
TR27089|c0_g4	4	610	Inorganic H pyrophosphatase family protein	AT1G15690
TR50258|c7_g1	5	613	CONSTANS-like 3	AT2G24790
TR4936|c7_g1	3	613	CONSTANS-like 3	AT2G24790
TR24205|c0_g1	5	614	loricrin-related	AT5G64550
TR6861|c6_g1	1	615	Transducin/WD40 repeat-like superfamily protein	AT3G13340
TR24846|c3_g2	2	615	Transducin/WD40 repeat-like superfamily protein	AT3G13340
TR49973|c0_g2	5	617	MEI2-like protein 1	AT5G61960
TR60994|c2_g2	2	617	MEI2-like protein 1	AT5G61960
TR27834|c1_g1	2	617	MEI2-like protein 1	AT5G61960
TR27834|c1_g2	4	617	MEI2-like protein 1	AT5G61960
TR3861|c1_g2	2	619	P4H isoform 2	AT3G06300
TR6925|c2_g4	5	621	GRAM domain-containing protein / ABA-responsive protein-related	AT5G23370
TR37848|c3_g4	3	622	glucuronidase 3	AT5G34940
TR32755|c7_g1	2	622	glucuronidase 3	AT5G34940
TR6134|c0_g1	4	623	"Protein of unknown function, DUF538"	AT4G02360
TR54557|c0_g1	3	626	UDP-Glycosyltransferase superfamily protein	AT1G51210
TR806|c0_g2	4	628	#N/A	#N/A
TR24014|c2_g1	6	628	#N/A	#N/A
TR12133|c0_g1	6	628	#N/A	#N/A
TR39591|c1_g1	6	628	#N/A	#N/A
TR37071|c5_g2	6	628	#N/A	#N/A
TR7948|c1_g2	2	628	#N/A	#N/A
TR22816|c0_g1	6	628	#N/A	#N/A
TR9935|c6_g1	6	628	#N/A	#N/A
TR49173|c11_g5	2	628	#N/A	#N/A
TR24014|c8_g1	6	628	#N/A	#N/A
TR6283|c0_g2	2	628	#N/A	#N/A
TR29859|c0_g1	4	628	#N/A	#N/A
TR27027|c4_g1	4	628	#N/A	#N/A
TR19919|c20_g1	6	628	#N/A	#N/A
TR27027|c3_g1	4	628	#N/A	#N/A
TR6850|c6_g3	2	628	#N/A	#N/A
TR19278|c2_g1	6	629	Eukaryotic aspartyl protease family protein	AT3G51330
TR51923|c1_g5	1	629	Eukaryotic aspartyl protease family protein	AT3G51330
TR34173|c4_g1	4	630	"Ribulose bisphosphate carboxylase large chain, catalytic domain"	ATMG00280
TR37326|c0_g3	1	630	"Ribulose bisphosphate carboxylase large chain, catalytic domain"	ATMG00280
TR43114|c0_g1	3	632	HCO3- transporter family	AT1G74810
TR18330|c0_g3	6	634	UDP-glucose/GDP-mannose dehydrogenase family protein	AT3G01010
TR24776|c5_g1	2	634	UDP-glucose/GDP-mannose dehydrogenase family protein	AT3G01010
TR58501|c0_g5	2	636	ankyrin repeat family protein	AT1G11740
TR6872|c0_g2	1	637	F-box family protein	AT4G18380
TR58447|c0_g1	2	637	F-box family protein	AT4G18380
TR58017|c7_g1	2	637	F-box family protein	AT4G18380
TR7835|c3_g1	5	637	F-box family protein	AT4G18380
TR9969|c2_g1	4	638	Exostosin family protein	AT5G25820
TR32015|c0_g1	3	638	Exostosin family protein	AT5G25820
TR9969|c4_g1	3	638	Exostosin family protein	AT5G25820
TR43932|c2_g1	5	638	Exostosin family protein	AT5G25820
TR9969|c3_g1	4	638	Exostosin family protein	AT5G25820
TR34030|c2_g2	2	639	CHY-type/CTCHY-type/RING-type Zinc finger protein	AT5G18650
TR4400|c0_g1	3	639	CHY-type/CTCHY-type/RING-type Zinc finger protein	AT5G18650
TR34030|c2_g4	4	639	CHY-type/CTCHY-type/RING-type Zinc finger protein	AT5G18650
TR54070|c0_g1	4	643	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	AT4G02590
TR52408|c3_g1	3	643	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	AT4G02590
TR11559|c0_g1	2	644	0	AT1G67910
TR42095|c3_g1	2	644	0	AT1G67910
TR16750|c0_g2	2	645	alpha-galactosidase 2	AT5G08370
TR27065|c1_g1	4	646	Sodium/calcium exchanger family protein	AT5G17850
TR32840|c1_g1	4	646	Sodium/calcium exchanger family protein	AT5G17850
TR27112|c0_g1	6	648	5'-3' exoribonuclease 3	AT1G75660
TR43953|c0_g1	5	648	5'-3' exoribonuclease 3	AT1G75660
TR54003|c1_g1	3	649	Glycosyl hydrolase family protein	AT5G20950
TR49782|c5_g1	1	649	Glycosyl hydrolase family protein	AT5G20950
TR54003|c0_g1	1	649	Glycosyl hydrolase family protein	AT5G20950
TR53169|c0_g1	4	654	like AUXIN RESISTANT 1	AT5G01240
TR7361|c5_g1	3	654	like AUXIN RESISTANT 1	AT5G01240
TR43987|c0_g1	2	655	cell wall invertase 4	AT2G36190
TR60817|c3_g2	2	655	cell wall invertase 4	AT2G36190
TR58221|c0_g1	2	658	#N/A	#N/A
TR34061|c0_g1	3	659	Calcium-dependent lipid-binding (CaLB domain) family protein	AT1G20080
TR27274|c0_g1	5	660	oxidative stress 3	AT5G56550
TR25419|c0_g1	2	661	NAD(P)-linked oxidoreductase superfamily protein	AT1G60730
TR45529|c0_g1	5	661	NAD(P)-linked oxidoreductase superfamily protein	AT1G60730
TR25289|c0_g1	1	665	histone H1-3	AT2G18050
TR31157|c5_g1	1	665	histone H1-3	AT2G18050
TR51967|c4_g1	2	666	0	AT2G47115
TR22777|c0_g1	2	668	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	AT5G36740
TR39481|c6_g1	4	668	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	AT5G36740
TR27844|c7_g1	5	668	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	AT5G36740
TR23283|c5_g2	4	668	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	AT5G36740
TR29326|c1_g2	2	668	Acyl-CoA N-acyltransferase with RING/FYVE/PHD-type zinc finger protein	AT5G36740
TR41830|c0_g1	5	669	Protein with RING/U-box and TRAF-like domains	AT5G37910
TR23979|c1_g1	1	669	Protein with RING/U-box and TRAF-like domains	AT5G37910
TR18306|c3_g1	4	670	aldehyde dehydrogenase 2B4	AT3G48000
TR55708|c10_g1	2	670	aldehyde dehydrogenase 2B4	AT3G48000
TR3938|c0_g1	3	670	aldehyde dehydrogenase 2B4	AT3G48000
TR58505|c0_g1	4	671	DNAJ heat shock family protein	AT3G08910
TR37213|c0_g1	3	672	phosphatidylinositol-speciwc phospholipase C4	AT5G58700
TR502|c3_g1	6	673	myb domain protein 3r-5	AT5G02320
TR6868|c7_g2	6	673	myb domain protein 3r-5	AT5G02320
TR6868|c7_g4	6	673	myb domain protein 3r-5	AT5G02320
TR40804|c0_g1	2	674	UDP-Glycosyltransferase superfamily protein	AT5G12890
TR25336|c4_g1	5	674	UDP-Glycosyltransferase superfamily protein	AT5G12890
TR7841|c0_g1	3	675	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	AT3G22910
TR7401|c2_g1	1	675	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	AT3G22910
TR39421|c1_g1	3	675	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	AT3G22910
TR7841|c2_g3	6	675	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	AT3G22910
TR4349|c0_g1	4	675	ATPase E1-E2 type family protein / haloacid dehalogenase-like hydrolase family protein	AT3G22910
TR4967|c0_g1	3	676	Plant protein of unknown function (DUF828)	AT1G60790
TR54826|c0_g1	6	678	0	AT1G71110
TR5372|c0_g3	3	678	0	AT1G71110
TR5372|c0_g2	3	678	0	AT1G71110
TR31963|c1_g1	2	679	Glutaredoxin family protein	AT5G58530
TR882|c0_g1	6	680	Integrase-type DNA-binding superfamily protein	AT1G12610
TR29839|c1_g2	3	682	0	AT5G06980
TR42049|c3_g1	4	682	0	AT5G06980
TR57950|c6_g1	4	682	0	AT5G06980
TR40196|c8_g4	6	682	0	AT5G06980
TR7163|c0_g1	2	682	0	AT5G06980
TR6500|c0_g1	3	683	Heavy metal transport/detoxification superfamily protein 	AT2G28090
TR26973|c5_g1	1	683	Heavy metal transport/detoxification superfamily protein 	AT2G28090
TR43847|c1_g1	2	687	Protein of unknown function (DUF793)	AT4G11300
TR18535|c3_g2	4	688	Sec23/Sec24 protein transport family protein	AT3G23660
TR40290|c11_g1	5	688	Sec23/Sec24 protein transport family protein	AT3G23660
TR25377|c0_g1	4	688	Sec23/Sec24 protein transport family protein	AT3G23660
TR47294|c8_g1	2	691	phragmoplast orienting kinesin 2	AT3G19050
TR44014|c0_g1	6	691	phragmoplast orienting kinesin 2	AT3G19050
TR35689|c0_g1	2	692	Calcium-dependent lipid-binding (CaLB domain) family protein	AT1G73580
TR19284|c3_g2	3	692	Calcium-dependent lipid-binding (CaLB domain) family protein	AT1G73580
TR49215|c0_g2	4	693	ovate family protein 5	AT4G18830
TR16894|c0_g2	6	694	#N/A	#N/A
TR51831|c0_g1	3	698	0	AT1G45688
TR48476|c0_g1	3	698	0	AT1G45688
TR15681|c6_g2	1	699	alpha/beta-Hydrolases superfamily protein	AT1G10040
TR15681|c6_g1	1	699	alpha/beta-Hydrolases superfamily protein	AT1G10040
TR23095|c1_g3	1	701	BAK1-interacting receptor-like kinase 1	AT5G48380
TR20638|c0_g1	2	701	BAK1-interacting receptor-like kinase 1	AT5G48380
TR23095|c1_g1	1	701	BAK1-interacting receptor-like kinase 1	AT5G48380
TR31958|c6_g1	1	702	arogenate dehydratase 2	AT3G07630
TR36912|c0_g1	5	703	Tyrosine transaminase family protein	AT5G53970
TR50272|c1_g3	1	703	Tyrosine transaminase family protein	AT5G53970
TR27037|c0_g1	5	704	Phosphotyrosine protein phosphatases superfamily protein	AT5G16480
TR37783|c5_g1	2	706	carboxyesterase 18	AT5G23530
TR18305|c7_g1	4	710	Lung seven transmembrane receptor family protein	AT5G42090
TR7937|c0_g1	3	711	Carbohydrate-binding X8 domain superfamily protein	AT5G35740
TR22116|c3_g1	3	714	hydroperoxide lyase 1	AT4G15440
TR45433|c1_g1	3	717	Long-chain fatty alcohol dehydrogenase family protein	AT4G19380
TR49817|c9_g2	2	717	Long-chain fatty alcohol dehydrogenase family protein	AT4G19380
TR31183|c9_g1	4	718	Nuclear transport factor 2 (NTF2) family protein with RNA binding (RRM-RBD-RNP motifs) domain	AT5G60980
